江苏移动直播央视,#genre#
CCTV4中文国际-欧洲HD,http://223.113.54.41/live.cache.cmvideo.cn:8088/migu/kailu/20200324/cctv4ouhd/51/index.m3u8?&encrypt=
CCTV4中文国际-美洲HD,http://223.113.54.41/live.cache.cmvideo.cn:8088/migu/kailu/20200324/cctv4meihd/51/index.m3u8?&encrypt=
CCTV5体育HD,http://223.113.54.41/live.cache.cmvideo.cn:8088/wd_r2/cctv/cctv5hdnew/2500/index.m3u8?&encrypt=
CCTV5+体育赛事,http://223.113.54.41/live.cache.cmvideo.cn:8088/wd_r2/cctv/cctv5plusnew/600/index.m3u8?&encrypt=
CCTV6电影HD,http://223.113.54.41/live.cache.cmvideo.cn:8088/wd_r2/2018/ocn/cctv6hd/2000/index.m3u8?&encrypt=
CCTV7国防军事HD,http://223.113.54.41/live.cache.cmvideo.cn:8088/migu/kailu/20200324/cctv7hd/51/index.m3u8?&encrypt=
CCTV8电视剧HD,http://223.113.54.41/live.cache.cmvideo.cn:8088/wd_r2/2018/ocn/cctv8hd/2000/index.m3u8?&encrypt=
CCTV9纪录HD,http://223.113.54.41/live.cache.cmvideo.cn:8088/migu/kailu/20200324/cctv9hd/51/index.m3u8?&encrypt=
CCTV10科教HD,http://223.113.54.41/live.cache.cmvideo.cn:8088/wd_r2/2018/ocn/cctv10hd/2000/index.m3u8?&encrypt=
CCTV11戏曲HD,http://223.113.54.41/live.cache.cmvideo.cn:8088/migu/kailu/cctv11hd/51/20200103/index.m3u8?&encrypt=
CCTV12社会与法HD,http://223.113.54.41/live.cache.cmvideo.cn:8088/migu/kailu/20200324/cctv12hd/51/index.m3u8?&encrypt=
CCTV13新闻,http://223.113.54.41/live.cache.cmvideo.cn:8088/envivo_x/2018/SD/cctv13/1000/index.m3u8?&encrypt=
CCTV14少儿HD,http://223.113.54.41/live.cache.cmvideo.cn:8088/wd_r2/2018/ocn/cctv14hd/2000/index.m3u8?&encrypt=
CCTV15音乐HD,http://223.113.54.41/live.cache.cmvideo.cn:8088/migu/kailu/20200324/cctv15hd/51/index.m3u8?&&encrypt=
CCTV17农村农业HD,http://223.113.54.41/live.cache.cmvideo.cn:8088/migu/kailu/20200324/cctv17hd/51/index.m3u8?&encrypt=
CCTV兵器科技,http://223.113.54.41/live.cache.cmvideo.cn:8088/ws_v/2018/gfjs/gfjs711/1000/index.m3u8?&encrypt=
CCTV怀旧剧场,http://223.113.54.41/live.cache.cmvideo.cn:8088/ws_v/2018/hjjc/hjjc711/1000/index.m3u8?&encrypt=
CCTV第一剧场,http://223.113.54.41/live.cache.cmvideo.cn:8088/ws_v/2018/dyjc/dyjc711/1000/index.m3u8?&encrypt=
CCTV风云剧场,http://223.113.54.41/live.cache.cmvideo.cn:8088/ws_v/2018/fyjc/fyjc711/1000/index.m3u8?&encrypt=
CCTV风云音乐,http://223.113.54.41/live.cache.cmvideo.cn:8088/ws_v/2018/fyyy/fyyy711/1000/index.m3u8?&encrypt=
CCTV风云足球,http://223.113.54.41/live.cache.cmvideo.cn:8088/ws_v/2018/fyzq/fyzq711/1000/index.m3u8?&encrypt=
CCTV世界地理,http://223.113.54.41/live.cache.cmvideo.cn:8088/ws_v/2018/sjdl/sjdl711/1000/index.m3u8?&encrypt=
CCTV文化精品,http://223.113.54.41/live.cache.cmvideo.cn:8088/ws_v/2018/ysjp/ysjp711/1000/index.m3u8?&encrypt=
CCTV央视台球,http://223.113.54.41/live.cache.cmvideo.cn:8088/ws_v/2018/ystq/ystq711/1000/index.m3u8?&encrypt=
CCTV高尔夫网球,http://223.113.54.41/live.cache.cmvideo.cn:8088/ws_v/2018/gefwq/gefwq711/1000/index.m3u8?&encrypt=
CCTV女性时尚,http://223.113.54.41/live.cache.cmvideo.cn:8088/ws_v/2018/nxss/nxss711/1000/index.m3u8?&encrypt=
CGTN,http://223.113.54.41/live.cache.cmvideo.cn:8088/envivo_x/2018/SD/cctvnews/1000/index.m3u8?&encrypt=
CGTN纪录,http://223.113.54.41/live.cache.cmvideo.cn:8088/envivo_v/2018/SD/cctv/doc/1000/index.m3u8?&encrypt=
CGTN阿拉伯语,http://223.113.54.41/live.cache.cmvideo.cn:8088/envivo_v/SD/cctv/alabo/1000/index.m3u8?&encrypt=
